dataset,naive_cost,max_cost_for_tree,greedy_cost_for_tree,optimized_cost,split,cost_by_var,tree_accuracy,use_cost_sens,cost_sens_scalar,tree_depth,iter
fico_complete,20.822281167108752,47,34.63395225464191,24.26525198938992,test,"{'PercentTradesWBalance': 5, 'MSinceOldestTradeOpen': 9, 'MSinceMostRecentTradeOpen': 9, 'AverageMInFile': 3, 'NumSatisfactoryTrades': 2, 'NumTrades60Ever2DerogPubRec': 6, 'NumTrades90Ever2DerogPubRec': 5, 'PercentTradesNeverDelq': 9, 'MSinceMostRecentDelq': 9, 'MaxDelq2PublicRecLast12M': 2, 'MaxDelqEver': 8, 'NumTotalTrades': 8, 'NumTradesOpeninLast12M': 2, 'PercentInstallTrades': 2, 'MSinceMostRecentInqexcl7days': 1, 'NumInqLast6M': 8, 'NumInqLast6Mexcl7days': 5, 'NetFractionRevolvingBurden': 6, 'NetFractionInstallBurden': 6, 'NumRevolvingTradesWBalance': 7, 'NumInstallTradesWBalance': 9, 'NumBank2NatlTradesWHighUtilization': 5}",0.5729442970822282,False,0,3,0.0
iris_setosa,2.0,2,2.0,2.0,train,"{'sepal length': 7, 'sepal width': 6, 'petal length': 2, 'petal width': 9}",1.0,False,0,3,
iris_setosa,2.0,2,2.0,2.0,test,"{'sepal length': 7, 'sepal width': 6, 'petal length': 2, 'petal width': 9}",1.0,False,0,3,0.0
iris_versicolor,9.5,21,9.5,9.1,train,"{'sepal length': 8, 'sepal width': 5, 'petal length': 8, 'petal width': 3}",0.65,False,0,3,
iris_versicolor,10.2,21,10.2,10.6,test,"{'sepal length': 8, 'sepal width': 5, 'petal length': 8, 'petal width': 3}",0.65,False,0,3,0.0
iris_virginica,9.0,9,9.0,9.0,train,"{'sepal length': 1, 'sepal width': 3, 'petal length': 9, 'petal width': 7}",0.95,False,0,3,
iris_virginica,9.0,9,9.0,9.0,test,"{'sepal length': 1, 'sepal width': 3, 'petal length': 9, 'petal width': 7}",0.95,False,0,3,0.0
spiral,11.0,11,11.0,8.0,train,"{'feat1': 3, 'feat2': 8}",0.75,False,0,3,
spiral,11.0,11,11.0,8.0,test,"{'feat1': 3, 'feat2': 8}",0.75,False,0,3,0.0
tic-tac-toe,5.195856873822976,17,8.92090395480226,5.623352165725047,train,"{'Feat0_o': 2, 'Feat0_x': 8, 'Feat1_o': 7, 'Feat1_x': 8, 'Feat2_o': 6, 'Feat2_x': 1, 'Feat3_o': 2, 'Feat3_x': 4, 'Feat4_o': 6, 'Feat4_x': 1, 'Feat5_o': 6, 'Feat5_x': 1, 'Feat6_o': 8, 'Feat6_x': 1, 'Feat7_o': 4, 'Feat7_x': 1, 'Feat8_o': 4, 'Feat8_x': 5}",0.7819548872180451,False,0,3,
tic-tac-toe,5.2180451127819545,17,9.06766917293233,5.639097744360902,test,"{'Feat0_o': 2, 'Feat0_x': 8, 'Feat1_o': 7, 'Feat1_x': 8, 'Feat2_o': 6, 'Feat2_x': 1, 'Feat3_o': 2, 'Feat3_x': 4, 'Feat4_o': 6, 'Feat4_x': 1, 'Feat5_o': 6, 'Feat5_x': 1, 'Feat6_o': 8, 'Feat6_x': 1, 'Feat7_o': 4, 'Feat7_x': 1, 'Feat8_o': 4, 'Feat8_x': 5}",0.7819548872180451,False,0,3,0.0
